DATE,ID,INDUSTRY,RECESS1,RECESS2,RECESS3,RECESS4,RECESS5
1969Q1,42,,0.0,0.0,30.0,20.0,
1969Q1,43,,0.0,0.0,0.0,0.0,
1969Q1,44,,0.0,20.0,30.0,20.0,
1969Q1,46,,10.0,30.0,15.0,10.0,
1969Q1,48,,10.0,20.0,15.0,10.0,
1969Q1,49,,2.0,60.0,50.0,20.0,
1969Q1,50,,5.0,10.0,35.0,20.0,
1969Q1,51,,0.0,50.0,10.0,0.0,
1969Q1,52,,,,,,
1969Q1,53,,0.0,10.0,10.0,0.0,
1969Q1,54,,0.0,10.0,20.0,30.0,
1969Q1,57,,5.0,10.0,20.0,20.0,
1969Q1,58,,45.0,40.0,5.0,5.0,
1969Q1,59,,1.0,15.0,5.0,15.0,
1969Q1,60,,0.0,20.0,25.0,25.0,
1969Q1,61,,0.0,0.0,0.0,5.0,
1969Q1,62,,0.0,0.0,0.0,0.0,
1969Q1,64,,0.0,30.0,50.0,20.0,
1969Q1,65,,5.0,5.0,5.0,5.0,
1969Q1,66,,0.0,0.0,0.0,0.0,
1969Q1,67,,10.0,50.0,10.0,10.0,
1969Q1,69,,0.0,5.0,12.0,25.0,
1969Q1,70,,0.0,10.0,15.0,15.0,
1969Q1,72,,0.0,5.0,20.0,15.0,
1969Q1,73,,5.0,10.0,10.0,5.0,
1969Q1,74,,0.0,35.0,25.0,0.0,
1969Q1,77,,5.0,5.0,2.0,2.0,
1969Q1,78,,0.0,20.0,0.0,0.0,
1969Q1,79,,20.0,10.0,30.0,20.0,
1969Q1,81,,10.0,20.0,15.0,10.0,
1969Q1,84,,0.0,20.0,20.0,25.0,
1969Q1,85,,20.0,0.0,0.0,0.0,
1969Q1,89,,15.0,10.0,25.0,55.0,
1969Q1,90,,15.0,30.0,40.0,20.0,
1969Q1,91,,10.0,40.0,20.0,10.0,
1969Q1,92,,20.0,50.0,30.0,30.0,
1969Q1,93,,0.0,0.0,20.0,20.0,
1969Q1,94,,0.0,2.0,1.0,0.0,
1969Q1,95,,,,,,
1969Q1,96,,0.0,0.0,0.0,0.0,
1969Q2,1,,0.0,0.0,0.0,0.0,0.0
1969Q2,3,,0.0,20.0,20.0,20.0,20.0
1969Q2,4,,0.0,0.0,10.0,25.0,25.0
1969Q2,6,,0.0,0.0,2.0,10.0,50.0
1969Q2,8,,0.0,0.0,0.0,0.0,0.0
1969Q2,9,,0.0,5.0,20.0,35.0,20.0
1969Q2,10,,0.0,0.0,0.0,25.0,25.0
1969Q2,13,,0.0,5.0,10.0,10.0,10.0
1969Q2,15,,0.0,25.0,40.0,40.0,25.0
1969Q2,16,,0.0,10.0,40.0,30.0,20.0
1969Q2,18,,0.0,0.0,5.0,10.0,0.0
1969Q2,21,,0.0,0.0,10.0,25.0,40.0
1969Q2,23,,0.0,0.0,0.0,10.0,0.0
1969Q2,26,,0.0,0.0,0.0,5.0,8.0
1969Q2,27,,0.0,0.0,0.0,100.0,0.0
1969Q2,28,,0.0,0.0,2.0,3.0,4.0
1969Q2,30,,0.0,0.0,20.0,30.0,10.0
1969Q2,31,,0.0,10.0,10.0,10.0,10.0
1969Q2,32,,0.0,20.0,20.0,10.0,10.0
1969Q2,33,,0.0,0.0,20.0,10.0,10.0
1969Q2,35,,0.0,0.0,20.0,20.0,0.0
1969Q2,38,,0.0,0.0,0.0,20.0,50.0
1969Q2,40,,0.0,0.0,0.0,10.0,15.0
1969Q2,41,,0.0,0.0,20.0,20.0,0.0
1969Q2,42,,0.0,0.0,0.0,20.0,20.0
1969Q2,43,,0.0,0.0,0.0,0.0,0.0
1969Q2,45,,0.0,0.0,30.0,40.0,50.0
1969Q2,46,,0.0,0.0,20.0,20.0,20.0
1969Q2,47,,0.0,5.0,15.0,35.0,60.0
1969Q2,48,,0.0,5.0,20.0,20.0,15.0
1969Q2,49,,0.0,5.0,50.0,50.0,25.0
1969Q2,50,,0.0,25.0,35.0,50.0,60.0
1969Q2,51,,0.0,0.0,0.0,20.0,50.0
1969Q2,52,,,,,,
1969Q2,53,,0.0,5.0,15.0,15.0,10.0
1969Q2,55,,20.0,30.0,20.0,20.0,20.0
1969Q2,56,,10.0,25.0,20.0,20.0,10.0
1969Q2,58,,0.0,5.0,20.0,40.0,30.0
1969Q2,61,,0.0,0.0,0.0,20.0,20.0
1969Q2,62,,0.0,0.0,10.0,50.0,30.0
1969Q2,64,,0.0,15.0,55.0,70.0,50.0
1969Q2,66,,0.0,0.0,0.0,0.0,3.0
1969Q2,67,,0.0,0.0,0.0,3.0,0.0
1969Q2,69,,0.0,0.0,10.0,15.0,25.0
1969Q2,70,,0.0,0.0,20.0,30.0,50.0
1969Q2,72,,0.0,0.0,5.0,20.0,25.0
1969Q2,73,,0.0,0.0,5.0,5.0,10.0
1969Q2,74,,0.0,0.0,5.0,50.0,50.0
1969Q2,75,,0.0,5.0,10.0,15.0,15.0
1969Q2,79,,0.0,10.0,20.0,10.0,35.0
